id,Timestamp,ComponentID,ComponentState,SystemType,TestMode,ParticipantID,ParticipantSex,ParticipantAge
0,45.12784,HV700,Close,PackedGreen,VR,4,Female,27
1,45.12784,HV700,Close,PackedGreen,VR,4,Female,27
2,45.66848,HV700,Close,PackedGreen,VR,4,Female,27
3,45.66848,HV700,Close,PackedGreen,VR,4,Female,27
4,46.76875,HV700,Close,PackedGreen,VR,4,Female,27
5,46.76875,HV700,Close,PackedGreen,VR,4,Female,27
6,60.11558,HV700,Close,PackedGreen,VR,4,Female,27
7,60.11558,HV700,Close,PackedGreen,VR,4,Female,27
8,62.86549,HV700,Close,PackedGreen,VR,4,Female,27
9,62.86549,HV700,Close,PackedGreen,VR,4,Female,27
10,68.72763,HV700,Close,PackedGreen,VR,4,Female,27
11,68.72763,HV700,Close,PackedGreen,VR,4,Female,27
12,83.59241,HV700,Open,PackedGreen,VR,4,Female,27
13,83.59241,HV700,Open,PackedGreen,VR,4,Female,27
14,83.59241,HV701,Close,PackedGreen,VR,4,Female,27
15,83.59241,HV701,Close,PackedGreen,VR,4,Female,27
16,83.70245,HV700,Close,PackedGreen,VR,4,Female,27
17,83.70245,HV700,Close,PackedGreen,VR,4,Female,27
18,93.45234,HV700,Close,PackedGreen,VR,4,Female,27
19,93.45234,HV700,Close,PackedGreen,VR,4,Female,27
20,102.3291,HV700,Open,PackedGreen,VR,4,Female,27
21,102.3291,HV700,Open,PackedGreen,VR,4,Female,27
22,102.3291,HV701,Open,PackedGreen,VR,4,Female,27
23,102.3291,HV701,Open,PackedGreen,VR,4,Female,27
24,102.3291,FIC703,Close,PackedGreen,VR,4,Female,27
25,102.3291,FIC703,Close,PackedGreen,VR,4,Female,27
26,130.6064,HV700,Open,PackedGreen,VR,4,Female,27
27,130.6064,HV700,Open,PackedGreen,VR,4,Female,27
28,130.6064,HV701,Close,PackedGreen,VR,4,Female,27
29,130.6064,HV701,Close,PackedGreen,VR,4,Female,27
