id,Timestamp,SystemType,ComponentID,ComponentState,ParticipantID,ParticipantSex,ParticipantAge
0,3.181001,HeatExchange,V122,right,,Male,0
1,3.929204,HeatExchange,V122,bottom,,Male,0
2,4.574892,HeatExchange,V122,left,,Male,0
3,7.041569,HeatExchange,V121,Open,,Male,0
4,10.40258,HeatExchange,V131,right,,Male,0
5,11.90917,HeatExchange,V131,bottom,,Male,0
6,12.32862,HeatExchange,V131,left,,Male,0
7,17.75349,HeatExchange,V119,right,,Male,0
8,19.55651,HeatExchange,V119,bottom,,Male,0
9,20.51035,HeatExchange,V119,left,,Male,0
10,26.3298,HeatExchange,V123,right,,Male,0
11,27.4848,HeatExchange,V123,bottom,,Male,0
12,29.9357,HeatExchange,V123,left,,Male,0
13,35.79169,HeatExchange,PRV11,Right,,Male,0
14,37.40405,HeatExchange,PRV11,Right,,Male,0
15,38.15458,HeatExchange,PRV11,Right,,Male,0
